compound,mz,rt
4_methylthiobutyl,420.0458,5.41
3_methylsulfinylpropyl,422.0249,1.27
2_phenylethyl,422.058,7.32
5_methylthiopentyl,434.0612,7.28
4_methylsulfinylbutyl,436.0403,1.29
indol_3_ylmethyl,447.05229,6.6
6_methylthiohexyl,448.0768,8.44
5_methylsulfinylpentyl,450.056,1.52
7_methylthioheptyl,462.0927,9.41
hydroxy_indolylmethyl,463.0481,6.84
6_methylsulfinylhexyl,464.0716,2.03
8_methylthiooctyl,476.1081,10.3
methoxy_indolylmethyl,477.0636,6.46
7_methylsulfinylheptyl,478.0873,3.5
9_methylsulfinylnonyl,506.1186,7.5
8_methylsulfonyloctyl,508.0978,7.13