sample,group,mass,sl,le_rgr
con_1.mzML,ctrl,47,,
con_2.mzML,ctrl,46.5,,
con_3.mzML,ctrl,49.2,,
con_4.mzML,ctrl,51.1,,
con_5.mzML,ctrl,50.4,,
con_6.mzML,ctrl,46,,
con_7.mzML,ctrl,44.8,,
con_8.mzML,ctrl,48.6,,
sl1_1.mzML,sl1,53.5,5.29,
sl1_2.mzML,sl1,48.5,5.09,
sl1_3.mzML,sl1,52.1,1.27,
sl1_4.mzML,sl1,55.3,2.18,
sl1_5.mzML,sl1,47.4,4.62,
sl1_6.mzML,sl1,47.8,3.07,
sl1_7.mzML,sl1,46.9,2.74,
sl1_8.mzML,sl1,52.7,1.65,
le1_1.mzML,le1,47.7,,26
le1_2.mzML,le1,52.4,,10.5
le1_3.mzML,le1,52,,22
le1_4.mzML,le1,47.1,,30.5
le1_5.mzML,le1,46.1,,27.5
le1_6.mzML,le1,45.6,,12.5
le1_7.mzML,le1,50.3,,22
le1_8.mzML,le1,47.7,,9.5